ticker,filing_type,filing_date,accession_number,filing_url,ai_mentions_count,ai_keywords_found,ai_context_snippets,filing_title,status
SPLK,8-K,2024-03-18,0001104659-24-035289,https://www.sec.gov/Archives/edgar/data/0001104659/000110465924035289/tm248979d1_8k.htm,0,,,8-K - 2024-03-18,metadata_only
SPLK,8-K,2024-02-27,0001353283-24-000004,https://www.sec.gov/Archives/edgar/data/0001353283/000135328324000004/splk-20240227.htm,0,,,8-K - 2024-02-27,metadata_only
SPLK,8-K,2023-12-21,0001104659-23-128247,https://www.sec.gov/Archives/edgar/data/0001104659/000110465923128247/tm2333526d1_8k.htm,0,,,8-K - 2023-12-21,metadata_only
SPLK,8-K,2023-11-30,0001104659-23-122493,https://www.sec.gov/Archives/edgar/data/0001104659/000110465923122493/tm2331693d1_8k.htm,0,,,8-K - 2023-11-30,metadata_only
SPLK,10-Q,2023-11-28,0001353283-23-000043,https://www.sec.gov/Archives/edgar/data/0001353283/000135328323000043/splk-20231031.htm,0,,,10-Q - 2023-11-28,metadata_only
SPLK,8-K,2023-11-28,0001353283-23-000041,https://www.sec.gov/Archives/edgar/data/0001353283/000135328323000041/splk-20231128.htm,0,,,8-K - 2023-11-28,metadata_only
SPLK,8-K,2023-11-17,0001104659-23-119309,https://www.sec.gov/Archives/edgar/data/0001104659/000110465923119309/tm2330985d2_8k.htm,0,,,8-K - 2023-11-17,metadata_only
SPLK,8-K,2023-11-14,0001104659-23-117711,https://www.sec.gov/Archives/edgar/data/0001104659/000110465923117711/tm2330605d1_8k.htm,0,,,8-K - 2023-11-14,metadata_only
SPLK,8-K,2023-11-01,0001104659-23-113185,https://www.sec.gov/Archives/edgar/data/0001104659/000110465923113185/tm2329467d2_8k.htm,0,,,8-K - 2023-11-01,metadata_only
SPLK,8-K,2023-09-21,0001104659-23-102594,https://www.sec.gov/Archives/edgar/data/0001104659/000110465923102594/tm2326347d1_8k.htm,0,,,8-K - 2023-09-21,metadata_only
SPLK,10-Q,2023-08-24,0001353283-23-000034,https://www.sec.gov/Archives/edgar/data/0001353283/000135328323000034/splk-20230731.htm,0,,,10-Q - 2023-08-24,metadata_only
SPLK,8-K,2023-08-23,0001353283-23-000030,https://www.sec.gov/Archives/edgar/data/0001353283/000135328323000030/splk-20230823.htm,0,,,8-K - 2023-08-23,metadata_only
SPLK,8-K,2023-06-23,0001104659-23-074041,https://www.sec.gov/Archives/edgar/data/0001104659/000110465923074041/tm2319399d1_8k.htm,0,,,8-K - 2023-06-23,metadata_only
SPLK,10-Q,2023-05-25,0001353283-23-000025,https://www.sec.gov/Archives/edgar/data/0001353283/000135328323000025/splk-20230430.htm,0,,,10-Q - 2023-05-25,metadata_only
SPLK,8-K,2023-05-24,0001353283-23-000020,https://www.sec.gov/Archives/edgar/data/0001353283/000135328323000020/splk-20230524.htm,0,,,8-K - 2023-05-24,metadata_only
SPLK,DEF 14A,2023-05-09,0001308179-23-000851,https://www.sec.gov/Archives/edgar/data/0001308179/000130817923000851/splk4148431-def14a.htm,0,,,DEF 14A - 2023-05-09,metadata_only
SPLK,8-K,2023-04-18,0001104659-23-046440,https://www.sec.gov/Archives/edgar/data/0001104659/000110465923046440/tm2313056d1_8k.htm,0,,,8-K - 2023-04-18,metadata_only
SPLK,8-K,2023-04-14,0001104659-23-045598,https://www.sec.gov/Archives/edgar/data/0001104659/000110465923045598/tm2312884d1_8k.htm,0,,,8-K - 2023-04-14,metadata_only
SPLK,10-K,2023-03-23,0001353283-23-000011,https://www.sec.gov/Archives/edgar/data/0001353283/000135328323000011/splk-20230131.htm,0,,,10-K - 2023-03-23,metadata_only
SPLK,8-K,2023-03-21,0001104659-23-035092,https://www.sec.gov/Archives/edgar/data/0001104659/000110465923035092/tm2310087d1_8k.htm,0,,,8-K - 2023-03-21,metadata_only
