ticker,filing_type,filing_date,accession_number,filing_url,ai_mentions_count,ai_keywords_found,ai_context_snippets,filing_title,status
UBER,8-K,2025-09-11,0001552781-25-000287,https://www.sec.gov/Archives/edgar/data/0001552781/000155278125000287/e25325_uber-8k.htm,0,,,8-K - 2025-09-11,metadata_only
UBER,8-K,2025-08-06,0001543151-25-000020,https://www.sec.gov/Archives/edgar/data/0001543151/000154315125000020/uber-20250728.htm,0,,,8-K - 2025-08-06,metadata_only
UBER,10-Q,2025-08-06,0001543151-25-000023,https://www.sec.gov/Archives/edgar/data/0001543151/000154315125000023/uber-20250630.htm,0,,,10-Q - 2025-08-06,metadata_only
UBER,8-K,2025-06-06,0001552781-25-000205,https://www.sec.gov/Archives/edgar/data/0001552781/000155278125000205/e25232_uber-8k.htm,0,,,8-K - 2025-06-06,metadata_only
UBER,8-K,2025-06-04,0001552781-25-000203,https://www.sec.gov/Archives/edgar/data/0001552781/000155278125000203/e25233_uber-8k.htm,0,,,8-K - 2025-06-04,metadata_only
UBER,8-K,2025-06-02,0001552781-25-000201,https://www.sec.gov/Archives/edgar/data/0001552781/000155278125000201/e25231_uber-8k.htm,0,,,8-K - 2025-06-02,metadata_only
UBER,8-K,2025-05-20,0001552781-25-000191,https://www.sec.gov/Archives/edgar/data/0001552781/000155278125000191/e25222_uber-8k.htm,0,,,8-K - 2025-05-20,metadata_only
UBER,8-K,2025-05-09,0001552781-25-000174,https://www.sec.gov/Archives/edgar/data/0001552781/000155278125000174/e25195_uber-8k.htm,0,,,8-K - 2025-05-09,metadata_only
UBER,10-Q,2025-05-07,0001543151-25-000015,https://www.sec.gov/Archives/edgar/data/0001543151/000154315125000015/uber-20250331.htm,0,,,10-Q - 2025-05-07,metadata_only
UBER,8-K,2025-05-07,0001543151-25-000012,https://www.sec.gov/Archives/edgar/data/0001543151/000154315125000012/uber-20250507.htm,0,,,8-K - 2025-05-07,metadata_only
UBER,8-K,2025-05-06,0001552781-25-000160,https://www.sec.gov/Archives/edgar/data/0001552781/000155278125000160/e25191_uber-8k.htm,0,,,8-K - 2025-05-06,metadata_only
UBER,DEF 14A,2025-03-24,0001308179-25-000210,https://www.sec.gov/Archives/edgar/data/0001308179/000130817925000210/uber013353-def14a.htm,0,,,DEF 14A - 2025-03-24,metadata_only
UBER,10-K,2025-02-14,0001543151-25-000008,https://www.sec.gov/Archives/edgar/data/0001543151/000154315125000008/uber-20241231.htm,0,,,10-K - 2025-02-14,metadata_only
UBER,8-K,2025-02-07,0001552781-25-000025,https://www.sec.gov/Archives/edgar/data/0001552781/000155278125000025/e25038_uber-8k.htm,0,,,8-K - 2025-02-07,metadata_only
UBER,8-K,2025-02-05,0001543151-25-000004,https://www.sec.gov/Archives/edgar/data/0001543151/000154315125000004/uber-20250205.htm,0,,,8-K - 2025-02-05,metadata_only
UBER,8-K,2024-10-31,0001543151-24-000033,https://www.sec.gov/Archives/edgar/data/0001543151/000154315124000033/uber-20241031.htm,0,,,8-K - 2024-10-31,metadata_only
UBER,10-Q,2024-10-31,0001543151-24-000036,https://www.sec.gov/Archives/edgar/data/0001543151/000154315124000036/uber-20240930.htm,0,,,10-Q - 2024-10-31,metadata_only
UBER,8-K,2024-09-27,0001552781-24-000539,https://www.sec.gov/Archives/edgar/data/0001552781/000155278124000539/e24397_uber-8k.htm,0,,,8-K - 2024-09-27,metadata_only
UBER,8-K,2024-09-09,0001552781-24-000524,https://www.sec.gov/Archives/edgar/data/0001552781/000155278124000524/e24385_uber-8k.htm,0,,,8-K - 2024-09-09,metadata_only
UBER,10-Q,2024-08-06,0001543151-24-000027,https://www.sec.gov/Archives/edgar/data/0001543151/000154315124000027/uber-20240630.htm,0,,,10-Q - 2024-08-06,metadata_only
UBER,8-K,2024-08-06,0001543151-24-000024,https://www.sec.gov/Archives/edgar/data/0001543151/000154315124000024/uber-20240806.htm,0,,,8-K - 2024-08-06,metadata_only
UBER,8-K,2024-08-02,0001552781-24-000415,https://www.sec.gov/Archives/edgar/data/0001552781/000155278124000415/e24326_uber-8k.htm,0,,,8-K - 2024-08-02,metadata_only
UBER,8-K,2024-05-14,0001552781-24-000318,https://www.sec.gov/Archives/edgar/data/0001552781/000155278124000318/e24246_uber-8k.htm,0,,,8-K - 2024-05-14,metadata_only
UBER,8-K,2024-05-10,0001552781-24-000307,https://www.sec.gov/Archives/edgar/data/0001552781/000155278124000307/e24239_uber-8k.htm,0,,,8-K - 2024-05-10,metadata_only
UBER,10-Q,2024-05-08,0001543151-24-000020,https://www.sec.gov/Archives/edgar/data/0001543151/000154315124000020/uber-20240331.htm,0,,,10-Q - 2024-05-08,metadata_only
UBER,8-K,2024-05-08,0001543151-24-000017,https://www.sec.gov/Archives/edgar/data/0001543151/000154315124000017/uber-20240508.htm,0,,,8-K - 2024-05-08,metadata_only
UBER,DEF 14A,2024-03-25,0001552781-24-000177,https://www.sec.gov/Archives/edgar/data/0001552781/000155278124000177/e24048_uber-def14a.htm,0,,,DEF 14A - 2024-03-25,metadata_only
UBER,10-K,2024-02-15,0001543151-24-000012,https://www.sec.gov/Archives/edgar/data/0001543151/000154315124000012/uber-20231231.htm,0,,,10-K - 2024-02-15,metadata_only
